task_lang,transfer_lang,accuracy,f1_score
sna,bam,0.8547841913676547,0.1759860566679562
wol,bam,0.9494583890681144,0.3240199723447239
pcm,bam,0.9293582375478928,0.3272194345547774
bbj,bam,0.9127557160048136,0.2255501860903764
swa,bam,0.9190879071494168,0.3882702815707916
fon,bam,0.938981189070438,0.2671188911215966
kin,bam,0.8752390788769031,0.2689352402967603
hau,bam,0.8654120585087406,0.2867450754325354
bam,bam,0.9828878341244068,0.7748084231141531
ibo,bam,0.9363527478343222,0.2292837684292243
luo,bam,0.9027442123094296,0.2385630369228761
lug,bam,0.8502843835371042,0.3079639730688535
ewe,bam,0.8981019469719206,0.3911807641309426
tsn,bam,0.9192660550458716,0.2525867549057605
mos,bam,0.92043321299639,0.2915548228531322
zul,bam,0.9015180556620408,0.1945035537316574
xho,bam,0.835485831497379,0.0987459156405713
yor,bam,0.9237509035550784,0.1173056459360228
twi,bam,0.9557180300731136,0.2398111872598366
nya,bam,0.9127107149777176,0.2349047734137586
wol,bbj,0.9176436645946442,0.3457356474759522
lug,bbj,0.7784943347216624,0.3685871132412629
ewe,bbj,0.892133842089815,0.4770608416028982
pcm,bbj,0.9197318007662836,0.4709500692123128
hau,bbj,0.8631154120585087,0.4146536425635845
yor,bbj,0.9221518848706548,0.2521778113542502
tsn,bbj,0.872683018161393,0.3205262818950632
nya,bbj,0.8116256539430343,0.2457462680054018
bam,bbj,0.903103922058456,0.2328920028757841
mos,bbj,0.9142238267148014,0.2985485452541936
twi,bbj,0.9333011449855152,0.2907868629618049
swa,bbj,0.8409113112800172,0.4583781393516073
luo,bbj,0.8082891022021457,0.2596763087707973
ibo,bbj,0.9330380769337902,0.3152669196754556
xho,bbj,0.8036161969155967,0.111967836385759
kin,bbj,0.7759926554969016,0.2652644610414119
zul,bbj,0.8610365713409491,0.1955620321066638
fon,bbj,0.9469724014829054,0.4662662852458922
sna,bbj,0.7730109204368175,0.1800966771306782
bbj,bbj,0.9673084636983554,0.7119511416883929
pcm,ewe,0.916882183908046,0.4621559095321381
bbj,ewe,0.918973124749298,0.3798899126448702
tsn,ewe,0.8980340760157274,0.3208374230293613
ewe,ewe,0.9686919088151844,0.8011119121736552
luo,ewe,0.879390175042349,0.3110187388426291
zul,ewe,0.8963812006440236,0.2166792872084171
sna,ewe,0.868538741549662,0.2574387875345992
twi,ewe,0.9499241274658572,0.3626368549504576
mos,ewe,0.9052346570397112,0.3100389544844376
bam,ewe,0.9265863102672997,0.31871675831668
swa,ewe,0.9118193008851286,0.5265313512235794
kin,ewe,0.8592877362099304,0.3272821043015183
yor,ewe,0.9314393358596368,0.274107240037567
wol,ewe,0.926036666928948,0.3268117596690562
lug,ewe,0.8946661292489587,0.5114841341921023
fon,ewe,0.9450501167101468,0.4989997614068283
nya,ewe,0.9147452044177484,0.3398799620926036
ibo,ewe,0.9334419654048632,0.3254170961693432
