task_lang,transfer_lang,accuracy,f1_score
bam,bam,0.7103610675039247,0.8727807784320268
kin,bam,0.2272930648769575,0.5804938702350758
fon,bam,0.5521172638436482,0.6884743675357551
lug,bam,0.3179886685552407,0.5614272208212692
ibo,bam,0.3938560293443374,0.6976008261789771
nya,bam,0.330532212885154,0.6630105600783593
wol,bam,0.5396341463414634,0.6705585281958177
sna,bam,0.2041737168640722,0.6126395156281009
xho,bam,0.3337415799142682,0.6118594903944097
hau,bam,0.1739130434782608,0.5921293237970459
twi,bam,0.6994219653179191,0.788340783675154
bbj,bam,0.510351966873706,0.6665852119511043
yor,bam,0.5224032586558045,0.6589205006215452
zul,bam,0.4580838323353293,0.7075333160430304
swa,bam,0.2607541157727031,0.6790852065363787
pcm,bam,0.4773713577185369,0.7155612283730571
luo,bam,0.3310719131614654,0.5672425161245308
ewe,bam,0.3246753246753247,0.7186250527864023
mos,bam,0.6321483771251932,0.7546570274212978
tsn,bam,0.3644578313253012,0.6621823278249291
ewe,bbj,0.1918081918081918,0.6726704322425164
bbj,bbj,0.6418219461697723,0.8252166797813202
kin,bbj,0.0532438478747203,0.3487155405826838
wol,bbj,0.09375,0.32586900258052
pcm,bbj,0.1766893986360818,0.4630392739156383
tsn,bbj,0.1355421686746988,0.4926907555339239
twi,bbj,0.4409578860445912,0.5682643294098402
ibo,bbj,0.1164603392939018,0.3732503129504462
xho,bbj,0.159216166564605,0.4947465375980198
bam,bbj,0.119309262166405,0.3541726698148174
yor,bbj,0.335030549898167,0.5091394457910872
hau,bbj,0.0551132884262094,0.5244669568683853
lug,bbj,0.0637393767705382,0.5093469073134743
zul,bbj,0.1646706586826347,0.4145072150010415
luo,bbj,0.0230664857530529,0.2869692015408164
sna,bbj,0.0676818950930626,0.4958875629196175
swa,bbj,0.0690387679235262,0.4692253977726981
nya,bbj,0.1025210084033613,0.4604203324000655
mos,bbj,0.2635239567233385,0.4808159693444719
fon,bbj,0.3428338762214983,0.597068979171759
lug,ewe,0.443342776203966,0.7126837597727865
ewe,ewe,0.6413586413586414,0.9064532403254828
hau,ewe,0.1665646050214329,0.6702736276729232
bam,ewe,0.3139717425431711,0.5489480545723893
swa,ewe,0.2225172596919808,0.6740892864792708
nya,ewe,0.3182072829131652,0.6913422216524696
kin,ewe,0.2711409395973154,0.6300061767620518
