task_lang,transfer_lang,exact_match,f1_score
de,ar,37.74629178658402,56.40526250068808
ar,ar,33.0834114339269,55.1159087071999
en,ar,58.67126833477136,74.27665763413188
hi,ar,41.05327368849126,59.108449435849245
zh,ar,31.146583609110376,31.947302637880806
vi,ar,42.02001819836215,63.49307138385286
es,ar,41.0432134018656,64.90975580262963
es,de,43.34665905197031,65.81757430398804
en,de,63.02847282139776,77.570827079923
de,de,41.7312375470445,59.65955014047709
vi,de,41.8926296633303,63.65874406777592
hi,de,40.9516063440423,59.97581605356977
zh,de,33.56044383881643,34.33628648296743
ar,de,31.602624179943767,52.35689623563181
en,en,67.84296807592753,80.59888019441465
es,en,46.10698648391396,66.6890761171019
ar,en,35.82005623242737,54.3662249155791
zh,en,32.76231263383298,33.58206853626476
de,en,46.7124197476201,61.71001674198508
vi,en,45.56869881710646,66.07185556353693
hi,en,44.20496136640911,61.17733372295857
ar,es,32.239925023430175,52.71991076868248
de,es,43.10382997564756,59.830403199869885
hi,es,40.40260268401789,59.67839093781743
zh,es,33.424177535526574,34.12072348951852
en,es,61.60483175150992,76.46098586368305
es,es,43.72739387016943,67.15659297818478
vi,es,42.36578707916288,63.53014635382311
es,hi,40.98610317913573,62.09967818424211
de,hi,41.13349568297543,58.094538888642944
ar,hi,32.12746016869728,51.56102304693918
zh,hi,34.88417364220362,35.730214349058045
hi,hi,45.99430662871086,63.97823297523132
vi,hi,42.52957233848954,62.980904703943125
en,hi,58.35202761000863,73.43809536622109
es,vi,40.92899295640586,64.04417522356833
en,vi,58.265746333045726,74.06596304413334
hi,vi,37.9015860105734,58.70657600037051
de,vi,38.3661722382112,57.12462135251736
ar,vi,30.103092783505154,50.97754970745798
zh,vi,33.716176756861984,34.46326395469865
vi,vi,43.02092811646952,65.28372455598475
vi,zh,35.15923566878981,60.11502669248728
es,zh,32.305349324195696,57.14293721611213
zh,zh,12.672766205956783,13.795154243373048
de,zh,31.923843258800087,52.93021581669089
en,zh,45.51337359792925,68.31279330385289
ar,zh,18.25679475164011,43.75520678029762
hi,zh,25.11183407889386,52.72882281587816
