task_lang,transfer_lang,exact_match,f1_score
zh,ar,21.825396825396822,22.51795162509448
vi,ar,31.898238747553812,50.082373015894085
de,ar,30.2734375,46.30218680788736
es,ar,34.8,54.233129356588485
ar,ar,28.62669245647969,46.766319632566805
en,ar,42.59581881533101,58.91728867424409
hi,ar,35.700197238658774,48.96465082954669
en,de,46.77700348432056,61.62974690645343
ar,de,21.663442940038685,40.40612240925656
es,de,34.6,53.22094581057594
vi,de,29.354207436399214,48.49358062094835
de,de,34.5703125,49.90791064953418
zh,de,15.873015873015872,16.917989417989418
hi,de,28.599605522682445,47.18283318882243
vi,en,41.87866927592955,62.20878476924293
en,en,62.45644599303136,75.82527032496164
zh,en,32.142857142857146,33.22137188208617
hi,en,41.814595660749504,56.67557104586111
es,en,43.8,64.38211224811812
ar,en,31.528046421663444,49.96070424492816
de,en,39.6484375,56.02909700184095
vi,es,32.681017612524464,53.11620973064645
zh,es,16.071428571428573,17.086640211640212
hi,es,31.36094674556213,47.89509631725446
es,es,39.4,60.0470535617344
de,es,34.375,49.737262537853184
ar,es,24.758220502901352,44.46911868183757
en,es,48.78048780487805,64.57683564530517
es,hi,31.0,49.86750339581552
de,hi,27.734375,43.94155854511474
ar,hi,26.11218568665377,41.28502792399188
hi,hi,38.46153846153846,55.93077390899061
vi,hi,33.268101761252446,52.642904468123135
en,hi,43.29268292682927,58.943238132972105
zh,hi,27.182539682539684,28.31349206349206
de,vi,34.375,49.08247769589956
zh,vi,30.753968253968253,32.11404006046863
hi,vi,37.67258382642998,52.18801488976122
ar,vi,26.30560928433269,44.28659040460678
es,vi,39.4,58.13661113405959
vi,vi,36.59491193737769,58.32434648110522
en,vi,48.08362369337979,63.99702619828644
de,zh,28.3203125,41.77037513243179
en,zh,42.073170731707314,57.76721952091416
es,zh,29.0,45.711628306767295
zh,zh,35.51587301587302,36.57879818594105
vi,zh,31.898238747553812,51.14640634546482
ar,zh,21.08317214700193,38.44083001768084
hi,zh,35.108481262327416,50.05675602849117
