task_lang,transfer_lang,bleu
gd,ar,53.75012861960521
ar,ar,37.09568466367304
ru,ar,16.129974043213704
he,ar,15.122888558238287
el,ar,12.70019122554739
de,ar,11.941178790523743
tk,ar,11.904553850611263
zu,ar,11.556671876301351
zh,ar,10.439743073572744
ig,ar,10.307051074482947
uk,ar,9.800212996524202
nb,ar,9.374940942675106
et,ar,9.109732568226493
bg,ar,8.54038141774248
ro,ar,8.359869345012546
mk,ar,8.183262305850903
mt,ar,8.14761718087315
be,ar,7.393981135660256
th,ar,7.084556359642788
ky,ar,7.009404975062325
cs,ar,6.6314250647282
gu,ar,6.465337080425867
li,ar,6.42205152708353
km,ar,6.211629352919334
nn,ar,6.025563151542319
lv,ar,5.752995066477684
cy,ar,5.629334016703921
fr,ar,5.576072833458406
sq,ar,5.459441335835404
af,ar,5.452160127444647
sh,ar,5.33401676346562
it,ar,5.262135792632085
id,ar,5.06100517195571
te,ar,4.968531272535414
mg,ar,4.858016867260325
kk,ar,4.790641156555007
ms,ar,4.740117660055566
ga,ar,4.680671835563412
sk,ar,4.560113873591633
pt,ar,4.443197053627446
oc,ar,4.379632879122622
br,ar,4.309988033934544
lt,ar,4.296813649318607
ko,ar,4.232125770414298
ca,ar,4.155416254499443
da,ar,4.086392212521612
fy,ar,4.063790691152417
nl,ar,4.021833375513953
sv,ar,3.8966644451583567
vi,ar,3.830438122857221
es,ar,3.783588649758875
wa,ar,3.671448815854769
hu,ar,3.4995954883605367
as,ar,3.2437114720752684
pl,ar,3.229401929456245
si,ar,3.0757100018904047
yi,ar,3.0199659720235568
ml,ar,2.9226269335553123
fi,ar,2.85684984411616
ja,ar,2.80775891889534
gl,ar,2.7767236774786226
hy,ar,2.708149158366941
kn,ar,2.7024208162529924
tr,ar,2.683711238456913
hr,ar,2.6357060456547976
sl,ar,2.6107606399327405
my,ar,2.6033549387200225
ta,ar,2.5786595881748355
pa,ar,2.57010482352662
xh,ar,2.3809607812448386
bn,ar,2.316019680799388
ne,ar,2.278088217137733
no,ar,2.2678443512679425
or,ar,2.234978850636218
rw,ar,2.19912947126794
mr,ar,2.1934071334300755
hi,ar,2.1345035434794064
an,ar,2.1312249020373213
eu,ar,2.128907354395833
mn,ar,2.106900843161017
bs,ar,2.106257187343864
sr,ar,1.9212347804427052
yo,ar,1.9006677787627533
ku,ar,1.8824283637332595
fa,ar,1.7267644706098042
uz,ar,1.5411399535113837
se,ar,1.5049784545514238
ps,ar,1.480428382722952
eo,ar,1.179744471319525
is,ar,1.053346973636231
ur,ar,0.9912366929524566
am,ar,0.9638447833151368
tg,ar,0.821597264049184
dz,ar,0.4419604711810663
az,ar,0.4220523802279318
ka,ar,0.2298037591702206
tt,ar,0.1929200014364028
ha,ar,0.0848711599501047
ug,ar,0.0760051145289098
gd,bg,55.628530022957406
bg,bg,30.61471608985235
mk,bg,22.14141116646493
ru,bg,18.313755187798478
ig,bg,15.607509861300542
tk,bg,15.46039083586791
el,bg,14.027706865234986
ro,bg,13.59419825199041
de,bg,13.035232766759922
cs,bg,12.97299819580414
uk,bg,11.629522954361658
ky,bg,11.452849921913108
zu,bg,10.89751712572565
be,bg,9.438045337180576
he,bg,9.435539679548056
sk,bg,9.3398899769765
nb,bg,8.764111945757826
mt,bg,8.70944678702083
et,bg,8.473980619477947
pl,bg,8.232215506583962
zh,bg,8.214463974374604
af,bg,7.924602485801629
fy,bg,7.670018206902979
sh,bg,7.313870273936747
it,bg,7.223830508242222
nn,bg,7.003192876305688
es,bg,6.924402530714207
sq,bg,6.816555533281886
yo,bg,6.739514552081374
ms,bg,6.69502082065762
lv,bg,6.484842819588422
pt,bg,6.295268976642056
li,bg,6.248276693275944
oc,bg,6.226726523119898
fr,bg,5.94852962911894
cy,bg,5.859987807171943
id,bg,5.734879816026479
lt,bg,5.504351704910903
kk,bg,5.397054284626808
ga,bg,5.2142287466515
gu,bg,5.183207610404776
br,bg,5.1801473069796735
sr,bg,4.973046627541005
wa,bg,4.8901884705893295
sl,bg,4.826641447345256
hu,bg,4.800390577705984
hr,bg,4.719837176379019
ca,bg,4.475683342713311
da,bg,4.466767049370513
mg,bg,4.43281317214784
nl,bg,4.367668120015885
gl,bg,4.190662330104442
ar,bg,4.150005946826344
vi,bg,3.936814556588347
se,bg,3.924367752600208
bs,bg,3.90145966392054
th,bg,3.860489144121032
km,bg,3.856149736295965
sv,bg,3.7994056863042016
ne,bg,3.624213080146836
hy,bg,3.6227251664948112
an,bg,3.585505462443755
as,bg,2.975150290069839
fi,bg,2.9479751582212823
hi,bg,2.883620725006717
te,bg,2.8605144995302347
tr,bg,2.858048637761295
