task_lang,transfer_lang,accuracy,f1_score
gla_Latn,ace_Arab,0.25,0.0571428571428571
tur_Latn,ace_Arab,0.25,0.0571428571428571
kon_Latn,ace_Arab,0.25,0.0578231292517006
tat_Cyrl,ace_Arab,0.25,0.0580535002845759
tel_Telu,ace_Arab,0.25,0.0571428571428571
zsm_Latn,ace_Arab,0.25,0.0578231292517006
guj_Gujr,ace_Arab,0.25,0.0571428571428571
kor_Hang,ace_Arab,0.25,0.0575945793337097
jpn_Jpan,ace_Arab,0.25,0.0571428571428571
fij_Latn,ace_Arab,0.25,0.0573678290213723
ayr_Latn,ace_Arab,0.25,0.0578231292517006
kam_Latn,ace_Arab,0.25,0.0575945793337097
urd_Arab,ace_Arab,0.25,0.0571428571428571
ajp_Arab,ace_Arab,0.25,0.0571428571428571
zho_Hans,ace_Arab,0.2598039215686274,0.0748602229736516
hat_Latn,ace_Arab,0.2549019607843137,0.0698588333443105
lim_Latn,ace_Arab,0.25,0.0571428571428571
yue_Hant,ace_Arab,0.25,0.0573678290213723
ewe_Latn,ace_Arab,0.2401960784313725,0.0557768924302788
plt_Latn,ace_Arab,0.2549019607843137,0.0665844188831234
hne_Deva,ace_Arab,0.25,0.0571428571428571
nso_Latn,ace_Arab,0.2450980392156862,0.0805698065972038
deu_Latn,ace_Arab,0.25,0.0573678290213723
als_Latn,ace_Arab,0.25,0.0571428571428571
afr_Latn,ace_Arab,0.25,0.0573678290213723
lit_Latn,ace_Arab,0.25,0.0573678290213723
ceb_Latn,ace_Arab,0.25,0.0573678290213723
spa_Latn,ace_Arab,0.25,0.0573678290213723
tpi_Latn,ace_Arab,0.2598039215686274,0.075614861329147
ars_Arab,ace_Arab,0.25,0.0571428571428571
vec_Latn,ace_Arab,0.25,0.0573678290213723
hye_Armn,ace_Arab,0.25,0.0571428571428571
kbp_Latn,ace_Arab,0.25,0.0571428571428571
som_Latn,ace_Arab,0.25,0.0571428571428571
bjn_Latn,ace_Arab,0.2549019607843137,0.0688121402407116
pan_Guru,ace_Arab,0.25,0.0571428571428571
prs_Arab,ace_Arab,0.25,0.0571428571428571
lug_Latn,ace_Arab,0.2549019607843137,0.0681765899157203
szl_Latn,ace_Arab,0.25,0.0573678290213723
ast_Latn,ace_Arab,0.2549019607843137,0.0643364701363549
tso_Latn,ace_Arab,0.2352941176470588,0.0652983380256107
bam_Latn,ace_Arab,0.25,0.0571428571428571
cym_Latn,ace_Arab,0.25,0.0573678290213723
ces_Latn,ace_Arab,0.25,0.0571428571428571
mya_Mymr,ace_Arab,0.25,0.0571428571428571
ory_Orya,ace_Arab,0.25,0.0571428571428571
lin_Latn,ace_Arab,0.2598039215686274,0.096129676774838
tzm_Tfng,ace_Arab,0.25,0.0571428571428571
wol_Latn,ace_Arab,0.25,0.0587557603686636
slk_Latn,ace_Arab,0.25,0.0571428571428571
bod_Tibt,ace_Arab,0.25,0.0571428571428571
