task_lang,transfer_lang,accuracy,f1_score
tpi_Latn,ace_Arab,0.5441176470588235,0.4603100857795558
ary_Arab,ace_Arab,0.5980392156862745,0.5585907717055258
ban_Latn,ace_Arab,0.6225490196078431,0.5854570019785797
uig_Arab,ace_Arab,0.2352941176470588,0.1703916349983765
tel_Telu,ace_Arab,0.5931372549019608,0.5757782556838287
sun_Latn,ace_Arab,0.6519607843137255,0.6172731942964961
kas_Arab,ace_Arab,0.4558823529411764,0.4345074313250204
zho_Hant,ace_Arab,0.6764705882352942,0.6557768225116944
pap_Latn,ace_Arab,0.6372549019607843,0.630255036941107
twi_Latn,ace_Arab,0.4803921568627451,0.4169512932830944
tgl_Latn,ace_Arab,0.5931372549019608,0.5397598085988932
sag_Latn,ace_Arab,0.4509803921568627,0.3775567505233206
eng_Latn,ace_Arab,0.6617647058823529,0.6077102156958292
snd_Arab,ace_Arab,0.6470588235294118,0.6105886611792765
apc_Arab,ace_Arab,0.6127450980392157,0.5789927392354618
bel_Cyrl,ace_Arab,0.6323529411764706,0.6064307538492985
gle_Latn,ace_Arab,0.5980392156862745,0.5653424629082048
vie_Latn,ace_Arab,0.6519607843137255,0.6517296353381106
lao_Laoo,ace_Arab,0.6715686274509803,0.6423122207035773
wol_Latn,ace_Arab,0.4019607843137255,0.3488163346162918
npi_Deva,ace_Arab,0.6323529411764706,0.617775151401332
ibo_Latn,ace_Arab,0.5245098039215687,0.4530403709456062
fur_Latn,ace_Arab,0.6078431372549019,0.5613061743701195
kir_Cyrl,ace_Arab,0.6470588235294118,0.6295075273455896
hat_Latn,ace_Arab,0.5588235294117647,0.4703608374008285
ckb_Arab,ace_Arab,0.4656862745098039,0.3849489526903045
tha_Thai,ace_Arab,0.6764705882352942,0.6536111895558899
hne_Deva,ace_Arab,0.6323529411764706,0.5897198079881724
acm_Arab,ace_Arab,0.5931372549019608,0.5675550457139374
kor_Hang,ace_Arab,0.6715686274509803,0.6468697141444639
ssw_Latn,ace_Arab,0.4313725490196078,0.3521964667254362
bos_Latn,ace_Arab,0.6372549019607843,0.5879927244068146
dyu_Latn,ace_Arab,0.3627450980392157,0.3081270302025019
ind_Latn,ace_Arab,0.6666666666666666,0.6427328166267937
mlt_Latn,ace_Arab,0.6470588235294118,0.6225370311775894
arb_Arab,ace_Arab,0.5931372549019608,0.5731798401953581
grn_Latn,ace_Arab,0.5735294117647058,0.5328106497047939
isl_Latn,ace_Arab,0.6764705882352942,0.6690152673570121
heb_Hebr,ace_Arab,0.6274509803921569,0.6106765666484637
kbp_Latn,ace_Arab,0.3039215686274509,0.2647741886899015
ltz_Latn,ace_Arab,0.5833333333333334,0.5338899196042053
som_Latn,ace_Arab,0.5490196078431373,0.5293248169487101
slk_Latn,ace_Arab,0.6617647058823529,0.6328556986974062
ayr_Latn,ace_Arab,0.3774509803921568,0.342696276954148
kon_Latn,ace_Arab,0.4558823529411764,0.4289960292406669
xho_Latn,ace_Arab,0.4362745098039216,0.3538539898387622
nob_Latn,ace_Arab,0.6519607843137255,0.6088156288156289
pol_Latn,ace_Arab,0.6764705882352942,0.6460249861032639
kik_Latn,ace_Arab,0.4117647058823529,0.3593458803105567
uzn_Latn,ace_Arab,0.6421568627450981,0.6257927504377699
lit_Latn,ace_Arab,0.6176470588235294,0.5794341873771908
tir_Ethi,ace_Arab,0.4754901960784313,0.4258497497324095
lus_Latn,ace_Arab,0.446078431372549,0.4040585915754501
bul_Cyrl,ace_Arab,0.6911764705882353,0.6599064913207592
lvs_Latn,ace_Arab,0.6666666666666666,0.6338680864662114
run_Latn,ace_Arab,0.5588235294117647,0.5368852526820026
bod_Tibt,ace_Arab,0.196078431372549,0.0956648300345779
epo_Latn,ace_Arab,0.6715686274509803,0.6480743590725743
fao_Latn,ace_Arab,0.6225490196078431,0.566831720403149
mos_Latn,ace_Arab,0.2941176470588235,0.2274203532621456
kmb_Latn,ace_Arab,0.3529411764705882,0.2918164106203973
lug_Latn,ace_Arab,0.4117647058823529,0.3839558699846633
war_Latn,ace_Arab,0.6078431372549019,0.5396443035351338
tam_Taml,ace_Arab,0.6323529411764706,0.6237398048194066
ilo_Latn,ace_Arab,0.5784313725490197,0.5091800485539257
yor_Latn,ace_Arab,0.4313725490196078,0.3828539244190721
srp_Cyrl,ace_Arab,0.6764705882352942,0.6708110210189359
quy_Latn,ace_Arab,0.446078431372549,0.4084126986976822
ceb_Latn,ace_Arab,0.5931372549019608,0.5172363816972533
ell_Grek,ace_Arab,0.6421568627450981,0.6155547815820751
nso_Latn,ace_Arab,0.4607843137254901,0.3757234701660984
arz_Arab,ace_Arab,0.6421568627450981,0.6222173974266865
ace_Latn,ace_Arab,0.5735294117647058,0.5103141507354655
scn_Latn,ace_Arab,0.5980392156862745,0.5508490139870581
arb_Latn,ace_Arab,0.284313725490196,0.2571738202502751
min_Arab,ace_Arab,0.3725490196078431,0.3347922910326422
kmr_Latn,ace_Arab,0.5441176470588235,0.5134915759583019
prs_Arab,ace_Arab,0.5882352941176471,0.554387803497055
mai_Deva,ace_Arab,0.6323529411764706,0.6006843227385996
kea_Latn,ace_Arab,0.6078431372549019,0.5598329300076134
srd_Latn,ace_Arab,0.6176470588235294,0.5829131683859402
urd_Arab,ace_Arab,0.6225490196078431,0.5992810139928988
zho_Hans,ace_Arab,0.696078431372549,0.6686761777381985
zsm_Latn,ace_Arab,0.6568627450980392,0.6347642501558767
min_Latn,ace_Arab,0.5735294117647058,0.5426565301106263
sin_Sinh,ace_Arab,0.5588235294117647,0.5236628321165351
hun_Latn,ace_Arab,0.6764705882352942,0.6581426859713478
deu_Latn,ace_Arab,0.6519607843137255,0.6382320030474944
kat_Geor,ace_Arab,0.6617647058823529,0.660768444740671
sna_Latn,ace_Arab,0.5196078431372549,0.4814830935489292
shn_Mymr,ace_Arab,0.446078431372549,0.3553856575021332
nus_Latn,ace_Arab,0.2107843137254902,0.1645553618854078
nya_Latn,ace_Arab,0.5686274509803921,0.5152465087943214
mal_Mlym,ace_Arab,0.5882352941176471,0.5692587357175029
lij_Latn,ace_Arab,0.6323529411764706,0.5976007489982645
jav_Latn,ace_Arab,0.6176470588235294,0.5770294256008542
khk_Cyrl,ace_Arab,0.6176470588235294,0.6162053449903286
taq_Tfng,ace_Arab,0.1862745098039215,0.1310485838426046
nld_Latn,ace_Arab,0.6666666666666666,0.6369939521573926
lim_Latn,ace_Arab,0.6274509803921569,0.587027168194705
slv_Latn,ace_Arab,0.6813725490196079,0.6592138462037986
swe_Latn,ace_Arab,0.6323529411764706,0.6108028086231709
glg_Latn,ace_Arab,0.7009803921568627,0.6838541139238753
hye_Armn,ace_Arab,0.6666666666666666,0.6696559422540138
ewe_Latn,ace_Arab,0.3137254901960784,0.3200501494619142
mya_Mymr,ace_Arab,0.6715686274509803,0.6393646225122314
tur_Latn,ace_Arab,0.6862745098039216,0.667707667954164
crh_Latn,ace_Arab,0.6176470588235294,0.596321814421765
tso_Latn,ace_Arab,0.4166666666666667,0.344262854235692
dan_Latn,ace_Arab,0.6323529411764706,0.5981134739531324
azj_Latn,ace_Arab,0.6127450980392157,0.5831278153894787
kan_Knda,ace_Arab,0.5980392156862745,0.5758715250697625
san_Deva,ace_Arab,0.5441176470588235,0.5198901816107139
khm_Khmr,ace_Arab,0.6176470588235294,0.5826069539866686
tzm_Tfng,ace_Arab,0.2549019607843137,0.1835063085063085
szl_Latn,ace_Arab,0.5686274509803921,0.547958683328052
bam_Latn,ace_Arab,0.3284313725490196,0.2910290561777425
eus_Latn,ace_Arab,0.5980392156862745,0.566727376899344
tat_Cyrl,ace_Arab,0.6617647058823529,0.6537755162552993
asm_Beng,ace_Arab,0.5784313725490197,0.5800981319020171
ces_Latn,ace_Arab,0.6568627450980392,0.6188864009553665
ita_Latn,ace_Arab,0.6862745098039216,0.6714593935996522
guj_Gujr,ace_Arab,0.5588235294117647,0.5385586061398006
mri_Latn,ace_Arab,0.5490196078431373,0.5102192945857373
ace_Arab,ace_Arab,0.5294117647058824,0.4671757575849647
lin_Latn,ace_Arab,0.4803921568627451,0.4262966757690228
knc_Arab,ace_Arab,0.1617647058823529,0.1431026341740627
fra_Latn,ace_Arab,0.6715686274509803,0.6451245647150691
mkd_Cyrl,ace_Arab,0.6813725490196079,0.6630651227144931
plt_Latn,ace_Arab,0.5980392156862745,0.549939253286284
sot_Latn,ace_Arab,0.4558823529411764,0.3809752183701764
spa_Latn,ace_Arab,0.6911764705882353,0.6648386407703178
kam_Latn,ace_Arab,0.3039215686274509,0.2458767238952997
kaz_Cyrl,ace_Arab,0.6323529411764706,0.616628692455575
lua_Latn,ace_Arab,0.4117647058823529,0.3469346851170977
als_Latn,ace_Arab,0.6715686274509803,0.6656054040033439
lmo_Latn,ace_Arab,0.5931372549019608,0.5731835696802186
nqo_Nkoo,ace_Arab,0.1274509803921568,0.0457520453115166
pan_Guru,ace_Arab,0.5490196078431373,0.5177830455018525
gla_Latn,ace_Arab,0.5294117647058824,0.487455283513171
gaz_Latn,ace_Arab,0.2892156862745098,0.2553462656180735
acq_Arab,ace_Arab,0.5931372549019608,0.5608760215762723
ltg_Latn,ace_Arab,0.5784313725490197,0.5561946599928104
ydd_Hebr,ace_Arab,0.4901960784313725,0.4369360086376273
pes_Arab,ace_Arab,0.6029411764705882,0.5890754050632471
