task_lang,transfer_lang,accuracy,f1_score
obo,arz,0.2432432432432432,0.0748366013071895
bbb,arz,0.2358490566037736,0.0558035714285714
ffm,arz,0.2342342342342342,0.0632603406326034
dif,arz,0.2432432432432432,0.0993170731707317
ssx,arz,0.2342342342342342,0.0632603406326034
wuv,arz,0.2342342342342342,0.0632603406326034
wnc,arz,0.2342342342342342,0.0632603406326034
tac,arz,0.2342342342342342,0.0632603406326034
mps,arz,0.2432432432432432,0.0748366013071895
pon,arz,0.2522522522522522,0.0857029072082835
tar,arz,0.2252252252252252,0.0612745098039215
udu,arz,0.2342342342342342,0.0632603406326034
mcq,arz,0.2363636363636363,0.0637254901960784
ese,arz,0.2342342342342342,0.0632603406326034
yap,arz,0.2342342342342342,0.0632603406326034
cut,arz,0.2342342342342342,0.0726057213930348
pan,arz,0.2342342342342342,0.0546218487394957
sbk,arz,0.2522522522522522,0.0857029072082835
sxb,arz,0.2342342342342342,0.0632603406326034
mbs,arz,0.2342342342342342,0.0637254901960784
are,arz,0.2522522522522522,0.0916265102311614
mqj,arz,0.2252252252252252,0.0612745098039215
buk,arz,0.2385321100917431,0.0641975308641975
cbs,arz,0.2314814814814814,0.06265664160401
atg,arz,0.2342342342342342,0.0632603406326034
vmy,arz,0.2342342342342342,0.0632603406326034
nko,arz,0.2342342342342342,0.0632603406326034
wol,arz,0.2522522522522522,0.0857029072082835
azz,arz,0.2342342342342342,0.0727576517050201
xed,arz,0.2342342342342342,0.0632603406326034
vid,arz,0.2342342342342342,0.0632603406326034
cco,arz,0.2342342342342342,0.0632603406326034
knv,arz,0.2272727272727272,0.0617283950617283
tgo,arz,0.2342342342342342,0.0729352346999405
luo,arz,0.2342342342342342,0.0629289883892488
zpc,arz,0.2342342342342342,0.0802139037433155
hus,arz,0.2342342342342342,0.0632603406326034
chk,arz,0.2432432432432432,0.0752639173691805
faa,arz,0.2342342342342342,0.0632603406326034
mee,arz,0.2612612612612612,0.0871310005168272
cao,arz,0.2522522522522522,0.1041778413493056
ntj,arz,0.2454545454545454,0.108008008008008
tcz,arz,0.2342342342342342,0.0727576517050201
ghs,arz,0.2596153846153846,0.0875
arz,arz,0.4144144144144144,0.1849261849261849
qxo,arz,0.2264150943396226,0.0629921259842519
cya,arz,0.2342342342342342,0.0632603406326034
agt,arz,0.2407407407407407,0.0651629072681704
mcr,arz,0.2252252252252252,0.0975033738191633
bzj,arz,0.2342342342342342,0.0637254901960784
zca,arz,0.2342342342342342,0.0632603406326034
amr,arz,0.2363636363636363,0.0641975308641975
mal,arz,0.2792792792792792,0.1179675543311907
hch,arz,0.2072072072072072,0.0842911877394636
mav,arz,0.2342342342342342,0.0632603406326034
cui,arz,0.2612612612612612,0.1078053259871441
qvc,arz,0.2363636363636363,0.0730733082706766
gup,arz,0.2660550458715596,0.0964607911172796
mxt,arz,0.2432432432432432,0.0752639173691805
kmo,arz,0.2342342342342342,0.0801163213376953
mbj,arz,0.2432432432432432,0.0748366013071895
jiv,arz,0.2363636363636363,0.0637254901960784
gun,arz,0.2342342342342342,0.0729352346999405
amo,arz,0.2342342342342342,0.0632603406326034
ood,arz,0.2385321100917431,0.0641975308641975
nch,arz,0.2162162162162162,0.0597014925373134
rug,arz,0.2522522522522522,0.0921846601235914
stp,arz,0.2342342342342342,0.0632603406326034
ame,arz,0.2522522522522522,0.0918803418803418
kvg,arz,0.2432432432432432,0.0749502190362405
srm,arz,0.2454545454545454,0.0754293050874659
bdv,arz,0.2252252252252252,0.0612745098039215
quf,arz,0.2272727272727272,0.0617283950617283
sua,arz,0.2432432432432432,0.0646536900749707
tmd,arz,0.2181818181818181,0.0601503759398496
zac,arz,0.2162162162162162,0.0592592592592592
ubr,arz,0.2342342342342342,0.0632603406326034
zav,arz,0.2181818181818181,0.0606060606060606
far,arz,0.2342342342342342,0.0632603406326034
hlt,arz,0.2342342342342342,0.0632603406326034
grc,arz,0.2432432432432432,0.0750932835820895
srp,arz,0.2432432432432432,0.0653416306832613
atd,arz,0.2252252252252252,0.0612745098039215
nca,arz,0.2342342342342342,0.0632603406326034
nlx,arz,0.2432432432432432,0.0749502190362405
guo,arz,0.2727272727272727,0.1047619047619047
gaz,arz,0.2432432432432432,0.0748366013071895
som,arz,0.2342342342342342,0.0632603406326034
glv,arz,0.2342342342342342,0.0632603406326034
bch,arz,0.2342342342342342,0.0632603406326034
omw,arz,0.2818181818181818,0.1174196174196174
ruf,arz,0.2342342342342342,0.0632603406326034
tbg,arz,0.2363636363636363,0.0781134856300663
noa,arz,0.2363636363636363,0.0637254901960784
pio,arz,0.2342342342342342,0.0632603406326034
cnt,arz,0.1981981981981982,0.0883534136546184
spy,arz,0.2342342342342342,0.0632603406326034
wrs,arz,0.2342342342342342,0.049618320610687
khz,arz,0.2342342342342342,0.0626342642320085
urd,arz,0.2342342342342342,0.0637254901960784
kmh,arz,0.2272727272727272,0.0617283950617283
zaw,arz,0.2432432432432432,0.0752639173691805
bmu,arz,0.2342342342342342,0.0724810832337714
urt,arz,0.2342342342342342,0.0632603406326034
aii,arz,0.2522522522522522,0.0852053798618684
ton,arz,0.2342342342342342,0.0632603406326034
cbc,arz,0.2522522522522522,0.0855099502487562
tuo,arz,0.2342342342342342,0.0632603406326034
bjv,arz,0.2342342342342342,0.0632603406326034
ptu,arz,0.2432432432432432,0.0748366013071895
gvc,arz,0.2523364485981308,0.0925714285714285
cme,arz,0.2342342342342342,0.0632603406326034
kud,arz,0.2454545454545454,0.0754293050874659
amu,arz,0.2342342342342342,0.0632603406326034
yal,arz,0.2342342342342342,0.0632603406326034
tke,arz,0.2342342342342342,0.0632603406326034
qup,arz,0.2342342342342342,0.0632603406326034
aai,arz,0.2342342342342342,0.0632603406326034
ots,arz,0.2432432432432432,0.0749502190362405
bfz,arz,0.2522522522522522,0.0857029072082835
tte,arz,0.2407407407407407,0.0646766169154228
inb,arz,0.2342342342342342,0.0632603406326034
mbh,arz,0.2252252252252252,0.0611646418098031
tnk,arz,0.2252252252252252,0.0621890547263681
tzj,arz,0.2342342342342342,0.0632603406326034
swh,arz,0.2342342342342342,0.0637254901960784
msa,arz,0.2342342342342342,0.0641975308641975
nfa,arz,0.2385321100917431,0.0641975308641975
bdd,arz,0.2363636363636363,0.0637254901960784
aon,arz,0.2252252252252252,0.0612745098039215
hwc,arz,0.2427184466019417,0.0651041666666666
qul,arz,0.2252252252252252,0.0702513860408597
qvn,arz,0.2432432432432432,0.0826175012221523
chq,arz,0.2342342342342342,0.0632603406326034
taj,arz,0.2432432432432432,0.0748366013071895
nuy,arz,0.2342342342342342,0.0637254901960784
cpu,arz,0.2432432432432432,0.0983802861284426
plu,arz,0.2342342342342342,0.0632603406326034
ubu,arz,0.2342342342342342,0.0632603406326034
wmw,arz,0.2432432432432432,0.0748366013071895
