task_lang,transfer_lang,accuracy,f1_score,transfer_language
mxt,arz,0.1621621621621621,0.0564814814814814,results
mkn,arz,0.2314814814814814,0.1119260584376863,results
shp,arz,0.1711711711711711,0.0506666666666666,results
cek,arz,0.1711711711711711,0.0731276117004178,results
tet,arz,0.1759259259259259,0.0810371758825367,results
tbz,arz,0.2072072072072072,0.0958925026721636,results
piu,arz,0.1666666666666666,0.0480225988700565,results
pir,arz,0.1869158878504672,0.0634068211795741,results
mbl,arz,0.1545454545454545,0.0472222222222222,results
ton,arz,0.2252252252252252,0.1062982325118247,results
wol,arz,0.2522522522522522,0.1199755718409949,results
cjv,arz,0.1981981981981982,0.1022727272727272,results
tue,arz,0.1621621621621621,0.0472440944881889,results
zga,arz,0.2454545454545454,0.1398751698686495,results
zpi,arz,0.1531531531531531,0.0601851851851851,results
khz,arz,0.1621621621621621,0.0479999999999999,results
cuc,arz,0.1801801801801801,0.068703450372397,results
cbi,arz,0.2252252252252252,0.1094861660079051,results
kmg,arz,0.1651376146788991,0.0499999999999999,results
kue,arz,0.1801801801801801,0.091052438577191,results
cac,arz,0.1711711711711711,0.0487179487179487,results
pio,arz,0.1711711711711711,0.0487179487179487,results
kwf,arz,0.2522522522522522,0.1183528452443357,results
apr,arz,0.1801801801801801,0.0615915250061591,results
nld,arz,0.3963963963963964,0.2420554812254848,results
qvn,arz,0.1711711711711711,0.0592592592592592,results
cax,arz,0.1801801801801801,0.0827291482463896,results
gla,arz,0.3693693693693693,0.2401293850873682,results
guc,arz,0.1711711711711711,0.0490956072351421,results
msk,arz,0.1801801801801801,0.0746460746460746,results
nlg,arz,0.2972972972972973,0.144074074074074,results
blw,arz,0.1801801801801801,0.0617588031381134,results
ood,arz,0.1651376146788991,0.0719696969696969,results
wrs,arz,0.1711711711711711,0.058752688172043,results
kfw,arz,0.1801801801801801,0.0689825080068982,results
cao,arz,0.1981981981981982,0.0863697705802968,results
meq,arz,0.1711711711711711,0.0502645502645502,results
tee,arz,0.1801801801801801,0.0689825080068982,results
isn,arz,0.2072072072072072,0.0992622401073105,results
uvl,arz,0.1621621621621621,0.0897737883032,results
caa,arz,0.1801801801801801,0.069047619047619,results
ixl,arz,0.2072072072072072,0.0911282545805207,results
nou,arz,0.2018348623853211,0.095392861215646,results
mig,arz,0.1621621621621621,0.0969292803970223,results
waj,arz,0.1621621621621621,0.0479999999999999,results
kbm,arz,0.2162162162162162,0.1062528115159694,results
agr,arz,0.1891891891891892,0.0765641569459172,results
fai,arz,0.1711711711711711,0.0829365079365079,results
bss,arz,0.1621621621621621,0.0465116279069767,results
zar,arz,0.1621621621621621,0.0564871273712737,results
bus,arz,0.1621621621621621,0.0491803278688524,results
chd,arz,0.1711711711711711,0.0600034435261708,results
gup,arz,0.1651376146788991,0.0476190476190476,results
csy,arz,0.1801801801801801,0.0853285328532853,results
