task_lang,transfer_lang,uas,las
uk,af,0.6404231151497941,0.5046855033366463
am,af,0.6497502497502498,0.2724275724275724
ka,af,0.619638548283843,0.4255182941842714
ceb,af,0.5076252723311547,0.2534495279593319
sd,af,0.5809747716791753,0.3918980016276336
urb,af,0.3032786885245901,0.1174863387978142
sab,af,0.2900847769996314,0.1242167342425359
ltg,af,0.4588235294117647,0.3176470588235294
oc,af,0.635361858433436,0.4522982229723022
ht,af,0.2942105263157895,0.0721052631578947
cy,af,0.6083049453776577,0.3891695054622342
mpu,af,0.3258426966292135,0.0842696629213483
xcl,af,0.4407221124483564,0.1796299622777079
yo,af,0.1983501152493024,0.0359092563387116
sk,af,0.7446641556811049,0.6067953546767106
ps,af,0.5539709859847554,0.4160314728300959
ctn,af,0.3525391292461212,0.1710067664547877
gd,af,0.5087288855336416,0.3048976125318486
bho,af,0.3584396099024756,0.1810952738184546
th,af,0.4786592476593476,0.2016459534201846
olo,af,0.4321236559139785,0.2452956989247312
sga,af,0.3574766355140187,0.0759345794392523
ab,af,0.2929617383089277,0.1605101558809636
cu,af,0.4535723176499875,0.1965646004480956
koi,af,0.3061224489795918,0.1380552220888355
ang,af,0.327485380116959,0.1520467836257309
bm,af,0.2533458728206612,0.0510019532662953
got,af,0.2774073347715238,0.0683467346538537
gya,af,0.2061664190193164,0.0081723625557206
myu,af,0.2416829745596868,0.0743639921722113
ug,af,0.5261374636979671,0.3457889641819942
eo,af,0.6929982046678635,0.5562537402752843
pl,af,0.6767176537934156,0.5182182462025906
sdh,af,0.3897058823529412,0.2058823529411764
ajp,af,0.6311787072243346,0.3916349809885932
egy,af,0.3501371742112483,0.0215192043895747
ess,af,0.3263239875389408,0.139797507788162
af,af,0.9055947530557488,0.8748882043128292
arr,af,0.3773178094006037,0.0707201379905131
arh,af,0.3291878650838515,0.1140003768607499
xpg,af,0.2430349733254297,0.0521636040308239
azz,af,0.3782712133227597,0.1601903251387787
bar,af,0.537243947858473,0.353218941207768
orv,af,0.5103354978354978,0.3079410173160173
yrl,af,0.2920123962811156,0.0917724682595221
sa,af,0.3052834071489285,0.0733234912539703
ru,af,0.6377316492632583,0.5038976464481615
de,af,0.7690123529067385,0.6418388853111644
aii,af,0.152317880794702,0.0176600441501103
vep,af,0.3691481197237145,0.158096699923254
aln,af,0.4847404627892432,0.2345215759849906
ga,af,0.5340856443179561,0.3224568138195777
pro,af,0.457545723919485,0.3311535710636559
ro,af,0.6474173716567705,0.4549594521219764
ja,af,0.1972367882777344,0.036047666863242
jaa,af,0.208695652173913,0.0869565217391304
hbo,af,0.3437669010275824,0.1200648999459167
ky,af,0.5815989555333692,0.3618001689578373
yue,af,0.3662164104037936,0.1346457824400057
ml,af,0.5863503953391593,0.3974198918019143
pcm,af,0.4315679442508711,0.2596515679442508
xav,af,0.337204108977222,0.1049575703439035
el,af,0.7024243724522634,0.4964599871272259
si,af,0.6931818181818182,0.4136363636363636
hit,af,0.1573720397249809,0.0160427807486631
sr,af,0.7041414937396024,0.538481744155503
ta,af,0.7050076536190685,0.516509949704789
lt,af,0.5673609944565765,0.3898874517050227
ca,af,0.7175641670860594,0.569183022982721
mk,af,0.7227941176470588,0.5227941176470589
sjo,af,0.0512470771628994,0.0169524551831644
frm,af,0.6272494813528248,0.4689535388623534
be,af,0.6589942456842632,0.5382161621215912
et,af,0.6250223152701365,0.4345553986724443
xnr,af,0.4634049323786794,0.2315035799522673
abq,af,0.1840490797546012,0.0306748466257668
eme,af,0.348756906077348,0.1035911602209944
ur,af,0.3674186140753748,0.2365932729974334
fr,af,0.6901683603313546,0.5552117919307777
hy,af,0.566645912160544,0.4019349585708128
no,af,0.7219715376605346,0.572169751000201
es,af,0.7091255929057537,0.5638791503402764
apu,af,0.225,0.093
mr,af,0.6601941747572816,0.4684466019417476
myv,af,0.2476702853300028,0.1110577384955327
is,af,0.6291385918451723,0.4518733308750405
nl,af,0.7378686845982868,0.5985365000874104
it,af,0.7290410320174076,0.5644000621697234
nap,af,0.4228855721393035,0.2139303482587064
otk,af,0.2088607594936709,0.0759493670886076
ckt,af,0.3316459830176355,0.1317766165904637
sms,af,0.2375356125356125,0.0986467236467236
yi,af,0.7678945792153339,0.6524907656983129
lv,af,0.5931556906991011,0.4255688031794297
fi,af,0.63373855992943,0.4554250744293748
gwi,af,0.5982142857142857,0.4623015873015873
zh,af,0.2821816183541695,0.0865274534047717
ar,af,0.2992311760159459,0.1704836675751535
gv,af,0.3217357688218807,0.0997390547984923
krl,af,0.4877181641887524,0.3232062055591467
bn,af,0.68125,0.475
wbp,af,0.2825396825396825,0.1428571428571428
br,af,0.6222266640015991,0.3952628422946232
kk,af,0.5974817627660638,0.4264015189367443
cs,af,0.6675847314186674,0.52172617838621
kmr,af,0.6163522012578616,0.384146950184686
ko,af,0.5776787929628886,0.346668714628354
hsb,af,0.5215366705471478,0.3966150264171219
sah,af,0.3246575342465753,0.184931506849315
jv,af,0.5506518859373911,0.3184828836366171
pad,af,0.248015873015873,0.1269841269841269
te,af,0.7947295423023578,0.6005547850208044
or,af,0.4752186588921283,0.3109815354713314
uz,af,0.5516164994425864,0.3602006688963211
en,af,0.701963913157673,0.5349594382306446
lzh,af,0.3205146381229177,0.0263698872899978
gun,af,0.2531133012453205,0.0293376117350446
hu,af,0.6384954058192955,0.4620022970903522
tt,af,0.381140350877193,0.2061403508771929
scn,af,0.4986611924312745,0.2704391288825419
lb,af,0.4951456310679611,0.2475728155339805
gub,af,0.2533842794759825,0.0830786026200873
tpn,af,0.3378438331854481,0.1594942324755989
hi,af,0.4588163823216726,0.2972206753404546
kpv,af,0.2332421340629275,0.0932186828219659
tn,af,0.2990654205607476,0.116822429906542
nds,af,0.4484644126492299,0.279230839332908
he,af,0.6256085520716305,0.4299526776291151
wuu,af,0.3272311212814645,0.1109839816933638
ha,af,0.2908435294480229,0.0696520479551268
gsw,af,0.3973503621807091,0.2075390773922989
gl,af,0.7247159090909091,0.590814393939394
yrk,af,0.2327044025157232,0.0542452830188679
tl,af,0.6903331512834516,0.4096122337520481
naq,af,0.2390198797965788,0.073509015256588
bxr,af,0.4511915445208894,0.2398045667564064
lij,af,0.4776186213070725,0.2627573858549686
