task_lang,transfer_lang,accuracy,f1_score
mt,af,0.2996477919263072,0.1612806579449339
xnr,af,0.4904534606205251,0.2821266866602352
yrk,af,0.1415094339622641,0.0523535047170838
yi,af,0.8356793451133073,0.6333685257936503
et,af,0.872210591232939,0.6162598923942634
sv,af,0.8970232475808355,0.6932151688783668
gwi,af,0.4136904761904761,0.0982058621490139
da,af,0.8880574678240047,0.7053734842139612
ug,af,0.7518877057115199,0.4376737469148799
hsb,af,0.7493507656487866,0.530364930615045
pl,af,0.8445891076587191,0.610945082631216
ml,af,0.7424053266749896,0.5591448588538926
ru,af,0.8667037648412182,0.6319321622119405
de,af,0.8418174189645415,0.6509728028898234
ga,af,0.6680786286319412,0.4988376954786931
ky,af,0.7179172106597036,0.3949337911506917
say,af,0.1977406679764243,0.082603627473747
fi,af,0.8533603484397397,0.5622197913617994
fa,af,0.7517991881863685,0.5641254174314868
aqz,af,0.385558583106267,0.1448394441043644
az,af,0.7445175438596491,0.5163467215497077
cu,af,0.4381877022653722,0.2611768269785705
gsw,af,0.4758387342737323,0.3157691145887212
gl,af,0.8699968434343435,0.6141562618297902
bor,af,0.3337023370233702,0.1204912246811598
pay,af,0.2091228070175438,0.069703930135973
aii,af,0.1501103752759381,0.0264882823022357
or,af,0.7424684159378037,0.5341754977161559
cs,af,0.8277477623864268,0.5991673135970615
mpu,af,0.1685393258426966,0.098021331738437
vi,af,0.7403534609720177,0.5385502485101259
eu,af,0.7688520554689423,0.4366913493408532
af,af,0.9886713703666898,0.986375778532901
eo,af,0.9081388390185516,0.6760837396430184
koi,af,0.4489795918367347,0.2505717104459652
la,af,0.76,0.557369617023418
lzh,af,0.1703055220812362,0.1392334432296021
tt,af,0.5776315789473684,0.2518877873735702
ta,af,0.7769516728624535,0.5283163321478688
cy,af,0.6905321273346646,0.5442869391211762
ja,af,0.0767812647763557,0.0657128738184637
be,af,0.8682762071553666,0.6373270537483274
el,af,0.8002932131874418,0.576329859419632
ess,af,0.3142523364485981,0.1121010309531158
is,af,0.840127160783525,0.6588720298086721
arh,af,0.2195213868475598,0.0954186179622939
krl,af,0.7491919844861021,0.4821862907225649
bho,af,0.5206301575393848,0.3490470108873632
oc,af,0.7493298917899335,0.5239337441848855
ltg,af,0.7352941176470589,0.4864158307000961
ota,af,0.6267768040588704,0.409229865375257
wbp,af,0.4126984126984127,0.1406959341121771
yrl,af,0.3408977306807957,0.1249158377838416
hi,af,0.6905448961339206,0.5829940148288417
frm,af,0.8119843682153712,0.5770546838529698
eme,af,0.2044198895027624,0.1005805495393984
urb,af,0.1502732240437158,0.1270129469474815
hit,af,0.1023682200152788,0.0600946100821865
sq,af,0.7782071097372488,0.6150164203976933
bg,af,0.8733782752480285,0.6246832881742368
sk,af,0.8411016949152542,0.6295895321839022
vep,af,0.5894090560245587,0.336152742494963
sah,af,0.2883561643835616,0.14476940937654
en,af,0.8257900501013424,0.6514842642846087
gn,af,0.2073732718894009,0.09770763988167
nl,af,0.8524012886791039,0.6538383699648864
nds,af,0.6218900938667639,0.4626612043317012
scn,af,0.6187968582649054,0.437813871177085
it,af,0.8716506061548026,0.6075171481531346
pcm,af,0.6825783972125435,0.471471359390846
ajp,af,0.6768060836501901,0.4074940530110482
bxr,af,0.6064413201715027,0.3619851528238989
mr,af,0.7912621359223301,0.565522751733333
ro,af,0.8167726341232725,0.6022702778739614
xpg,af,0.2750444576170717,0.1521033476358185
abq,af,0.1273006134969325,0.0581352998642005
sms,af,0.3628917378917379,0.1338982820298323
apu,af,0.386,0.1199444666581535
wo,af,0.3548976256848986,0.1894670002228961
gun,af,0.1242264496905798,0.0407659874306904
gub,af,0.2506550218340611,0.0963881464289713
aln,af,0.5529706066291432,0.3809802608030874
tpn,af,0.3433895297249335,0.1037310031824755
sd,af,0.6836061126684149,0.4983719441939312
arr,af,0.1194480379473911,0.0549351098713147
ps,af,0.8096877305138923,0.6817000801988587
ang,af,0.5672514619883041,0.4147474879617737
xav,af,0.2974542206342117,0.1212613565706123
sr,af,0.8693634532878032,0.6627655745132234
ko,af,0.6310833323487364,0.3908925730198052
nap,af,0.5920398009950248,0.4429161158167874
olo,af,0.6673387096774194,0.3664204037962424
