task_lang,transfer_lang,accuracy,f1_score
ne,af,0.879746835443038,0.6251715763910887
kk,af,0.9076360887096774,0.6635366356677693
yo,af,0.5566600397614314,0.2987654320987654
ur,af,0.8002784961209469,0.6168112269855592
gan,af,0.7640117994100295,0.3758153715258083
ug,af,0.8936915887850467,0.6013079336166768
ba,af,0.8484136310223267,0.5563637165781299
kn,af,0.8891891891891892,0.618937398568654
szl,af,0.8921095008051529,0.7223015873015873
et,af,0.9165310306268248,0.7421032071864545
sa,af,0.8298829882988299,0.3402868458243996
be-x-old,af,0.9087723689150294,0.702552709720829
he,af,0.8231134836458992,0.5081444583039053
qu,af,0.7648114901256733,0.542334475035079
mg,af,0.6977040816326531,0.5887465493443754
hu,af,0.9321498970122478,0.782479385877763
ka,af,0.8793974756475672,0.6515780378731003
xmf,af,0.8482490272373541,0.6077949459353634
fr,af,0.8531285452482764,0.7220144819165452
wa,af,0.8040712468193384,0.5177257895027929
am,af,0.7954545454545454,0.4841347270615563
ln,af,0.8202020202020202,0.4325569752006772
sah,af,0.7838235294117647,0.4639817111727224
so,af,0.863013698630137,0.6021739130434782
ce,af,0.7920072661217076,0.2797604171873177
is,af,0.91421143847487,0.7274294874219627
io,af,0.7967914438502673,0.6355089751112519
zh,af,0.7797593572484631,0.170804457533299
dv,af,0.7067988668555241,0.0
hi,af,0.8198168193172356,0.6490642239984185
ga,af,0.8582716668757056,0.6796157135199544
lt,af,0.9150705576106316,0.7588928244495386
eml,af,0.8708730741012473,0.4067654966935541
map-bms,af,0.807495741056218,0.4479804332634522
ilo,af,0.6635160680529301,0.5638547791998154
tg,af,0.7635705669481303,0.3770196897985944
mwl,af,0.9053724053724054,0.5937204121414648
zh-min-nan,af,0.632952691680261,0.3053362573099415
ku,af,0.8815232722143864,0.6543523075168644
bar,af,0.9020618556701032,0.7643987016722132
pnb,af,0.8036006546644845,0.4962499275488321
bo,af,0.3798076923076923,0.0
lmo,af,0.857727737973388,0.6201806201806201
eo,af,0.8366822573696843,0.6600531845885805
gn,af,0.8568075117370892,0.5825704742419943
br,af,0.8170889348500517,0.5746406521864436
gu,af,0.9030402629416598,0.5531240357068454
az,af,0.8855511136493432,0.6737327728305714
hsb,af,0.8862199747155499,0.6158860329436023
no,af,0.9370667077491912,0.8043650165229156
sh,af,0.8910897863532954,0.7795080756844914
lb,af,0.8868859846777828,0.6500946040991807
vo,af,0.408983451536643,0.3498428719081752
or,af,0.7545008183306056,0.5857103722220319
af,af,0.9723353071798668,0.9072162585489192
vec,af,0.8183183183183184,0.6452716889224827
cdo,af,0.8754237288135593,0.292503605511062
fiu-vro,af,0.844047619047619,0.5639314494913529
te,af,0.8606989576946659,0.5233425679841619
sk,af,0.8905912711212565,0.7131472220264969
fo,af,0.9100719424460432,0.6640018600685901
sco,af,0.8963165075034106,0.7968737968737969
ko,af,0.8348362835689811,0.503697048271739
th,af,0.5510991680729102,0.0082157325579571
pa,af,0.6641366223908919,0.4745557085710538
sd,af,0.8619909502262444,0.4976537640472067
mn,af,0.8127853881278538,0.6001256337775386
da,af,0.9257900054583252,0.7790069875406708
an,af,0.8939149165320409,0.798655371297646
ms,af,0.8140960163432074,0.6225163118127991
mr,af,0.871805328983143,0.6435695718353522
pdc,af,0.8204545454545454,0.4636591478696742
mhr,af,0.8298217179902755,0.4767676767676768
ro,af,0.839236975495636,0.6927658154401729
as,af,0.6258064516129033,0.4539510006901311
de,af,0.9249841263339,0.7425033989071609
ia,af,0.91869918699187,0.634907183212268
fi,af,0.9226870666985416,0.7677218976853509
scn,af,0.7679558011049724,0.6005981222387454
gd,af,0.7777777777777778,0.5164771571021571
nov,af,0.8798185941043084,0.6624018360249324
sw,af,0.7644313861043899,0.5988239516012995
ksh,af,0.8542825361512792,0.5044612794612795
arc,af,0.5333333333333333,0.0
cbk-zam,af,0.8965079365079365,0.5809408735404274
lij,af,0.8511263467189031,0.4724393690624973
ru,af,0.8294102794299181,0.5946406773181553
uz,af,0.7752555882862588,0.5749809707479745
ext,af,0.898458748866727,0.6151858404180386
km,af,0.821656050955414,0.4193957258658806
my,af,0.8452380952380952,0.545498004158998
ja,af,0.7650597390478412,0.1234421446614209
wuu,af,0.6598639455782312,0.3410364145658263
en,af,0.8171575828498867,0.6186619238436467
si,af,0.8064516129032258,0.642602495543672
lv,af,0.8652437691298644,0.6539460557736289
csb,af,0.8751311647429171,0.5953520146878948
co,af,0.8273244781783681,0.5609259549018585
bn,af,0.752570253598355,0.6110023458437578
nds,af,0.9230769230769232,0.7160659425638863
tk,af,0.8228228228228228,0.6155394524959742
zh-classical,af,0.7349457058242843,0.1151351074812952
id,af,0.7242455606947634,0.5143359166514838
hak,af,0.763915547024952,0.3052895477137902
ast,af,0.904642757853767,0.6893594773806898
cs,af,0.9076434228989576,0.7295402236023248
bh,af,0.8629130966952264,0.6098880597014925
sq,af,0.9270334928229664,0.7945124030465592
ta,af,0.8220257012574271,0.546605145133758
ay,af,0.7616822429906542,0.619544029155013
fur,af,0.9133448873483536,0.564741512140694
rw,af,0.6901408450704225,0.4666497351565491
ar,af,0.7493589444729358,0.4959456744157997
cv,af,0.771513353115727,0.4071418777301129
pl,af,0.9015778322266018,0.7529899422703493
oc,af,0.8789808917197452,0.7353559009296714
os,af,0.8093278463648834,0.440948266379662
nl,af,0.904748478654167,0.7378894409198072
el,af,0.9180508680210884,0.7296001382279064
tr,af,0.9174710488439344,0.7985991197039558
eu,af,0.914130662578176,0.6805521037915611
ml,af,0.8659134829790397,0.6364522874629926
gl,af,0.919413710505304,0.8084104007911628
ig,af,0.7996918335901386,0.5118717124488603
frr,af,0.7800829875518672,0.5251181682927151
sl,af,0.9043012193487874,0.7393261975766942
zea,af,0.9190897597977244,0.7388149704326175
mzn,af,0.8456712672521958,0.4752855692014532
bat-smg,af,0.8191780821917808,0.5519605696236131
