task_lang,transfer_lang,accuracy,f1_score
en,ar,0.82375249500998,0.8236337159169564
fr,ar,0.7838323353293413,0.7841649399209074
es,ar,0.7916167664670659,0.7918236664864043
de,ar,0.7734530938123753,0.773534765660635
el,ar,0.7702594810379242,0.7704837518224591
bg,ar,0.7838323353293413,0.7841084331848941
ru,ar,0.7632734530938123,0.7635288311495882
tr,ar,0.7373253493013973,0.737279788504908
ar,ar,0.7459081836327345,0.7453160375972964
vi,ar,0.7634730538922155,0.7637290459841896
th,ar,0.7359281437125749,0.7360517015853579
zh,ar,0.7522954091816367,0.7520686646303417
hi,ar,0.7209580838323353,0.7206917596664817
sw,ar,0.6602794411177645,0.6593663213647
ur,ar,0.6952095808383234,0.6941286628089615
en,bg,0.8375249500998004,0.8371474035940626
fr,bg,0.7956087824351298,0.7954825614241767
es,bg,0.799001996007984,0.7988212634862295
de,bg,0.7870259481037924,0.7869679960943629
el,bg,0.7810379241516966,0.780717501677489
bg,bg,0.8001996007984032,0.7998275114671856
ru,bg,0.7788423153692615,0.7785474896017157
tr,bg,0.7447105788423154,0.7446629013049452
ar,bg,0.7399201596806387,0.7395625583013411
vi,bg,0.7626746506986027,0.7627158076030836
th,bg,0.7419161676646706,0.7417366619808904
zh,bg,0.7602794411177645,0.7597499580086718
hi,bg,0.7209580838323353,0.7203582319547438
sw,bg,0.6698602794411178,0.6698490112309665
ur,bg,0.6866267465069861,0.6854150564815162
en,de,0.8311377245508982,0.8309573633590462
fr,de,0.7868263473053893,0.7869409410288185
es,de,0.7932135728542914,0.7931426009624372
de,de,0.793812375249501,0.7937459456524447
el,de,0.7702594810379242,0.7701708164177342
bg,de,0.7828343313373254,0.7830406067662322
ru,de,0.7698602794411178,0.7696647620638704
tr,de,0.7363273453093813,0.7354624843702998
ar,de,0.7317365269461078,0.730963381400909
vi,de,0.7648702594810379,0.7646199477553389
th,de,0.7371257485029941,0.7364959862901186
zh,de,0.7538922155688623,0.7529620963557369
hi,de,0.718562874251497,0.7175645882543353
sw,de,0.6672654690618762,0.6672807086322056
ur,de,0.6848303393213573,0.683070210823531
en,el,0.8269461077844311,0.8267831412245613
fr,el,0.7906187624750499,0.7907396613966889
es,el,0.7966067864271457,0.7966614079638227
de,el,0.7784431137724551,0.778216117472164
el,el,0.7894211576846307,0.7894250966113819
bg,el,0.7884231536926147,0.7886722387751112
ru,el,0.7662674650698603,0.7660578509375253
tr,el,0.7399201596806387,0.7394705936003372
ar,el,0.7399201596806387,0.7398254508722539
vi,el,0.7640718562874251,0.7639613887142721
th,el,0.7347305389221557,0.7347228635988553
zh,el,0.7441117764471058,0.7438336396458826
hi,el,0.7163672654690619,0.7160539128945328
sw,el,0.6744510978043912,0.6745397200708009
ur,el,0.6852295409181637,0.6840362611049997
en,en,0.8473053892215568,0.8474727778912835
fr,en,0.7854291417165669,0.7855810109159508
es,en,0.7888223552894211,0.7885523749240315
de,en,0.7678642714570858,0.7674277685599383
el,en,0.7578842315369262,0.7572750079720373
bg,en,0.7782435129740519,0.777421263889253
ru,en,0.7594810379241517,0.7588694279785032
tr,en,0.7337325349301397,0.7330889918209843
ar,en,0.7177644710578842,0.7162619451638969
vi,en,0.7465069860279441,0.7456174529896641
th,en,0.7079840319361277,0.7048763876618985
zh,en,0.7311377245508982,0.7290390906413643
hi,en,0.6992015968063873,0.6971046708690404
sw,en,0.6502994011976048,0.6495468339202626
ur,en,0.6552894211576846,0.6500123579630043
en,es,0.8367265469061876,0.8367705868818228
fr,es,0.7882235528942115,0.7883314917776332
es,es,0.8027944111776447,0.8028576652402082
de,es,0.7854291417165669,0.7853653063328768
el,es,0.7720558882235529,0.7721334873660658
bg,es,0.7884231536926147,0.7886744869997139
ru,es,0.7738522954091817,0.7738030430711724
tr,es,0.743313373253493,0.7429599564044923
ar,es,0.7327345309381238,0.7326621256255094
vi,es,0.7610778443113773,0.7612782421913379
th,es,0.7231536926147705,0.7224699545997103
zh,es,0.7437125748502994,0.7430005793121036
hi,es,0.7119760479041917,0.7118576663105317
sw,es,0.6522954091816368,0.6517649825484718
ur,es,0.6856287425149701,0.6848637218166754
en,fr,0.8293413173652695,0.8292107864907069
fr,fr,0.7962075848303394,0.7958796530715141
es,fr,0.7982035928143713,0.7981804055152665
de,fr,0.7754491017964071,0.7755580613961127
el,fr,0.768063872255489,0.7679802673713785
bg,fr,0.7898203592814371,0.7898854715830211
ru,fr,0.7656686626746507,0.765544473840631
tr,fr,0.7385229540918163,0.7380316750485698
ar,fr,0.7337325349301397,0.733024576218288
vi,fr,0.7532934131736527,0.7525990701409512
th,fr,0.7289421157684631,0.7279969469198657
zh,fr,0.7504990019960079,0.7494673927825838
hi,fr,0.7233532934131737,0.7224482942959326
sw,fr,0.6602794411177645,0.6600742526160526
ur,fr,0.6856287425149701,0.6845944027751769
en,hi,0.808183632734531,0.8075381496252091
fr,hi,0.7738522954091817,0.7735184030495819
es,hi,0.7760479041916167,0.7756807330586791
de,hi,0.7652694610778443,0.7646673252894938
el,hi,0.7574850299401198,0.757039577459941
bg,hi,0.774251497005988,0.774024319554588
ru,hi,0.7502994011976047,0.7498868968101471
tr,hi,0.7385229540918163,0.7376695630006888
ar,hi,0.7209580838323353,0.7203382430747075
vi,hi,0.7522954091816367,0.7517593028149777
th,hi,0.7243512974051897,0.7233741831117411
zh,hi,0.7367265469061877,0.7356575724005264
hi,hi,0.7247504990019961,0.7237449414050438
sw,hi,0.6634730538922156,0.6633414461805596
ur,hi,0.6866267465069861,0.6848783883510077
en,ru,0.8357285429141716,0.835607028591775
fr,ru,0.7900199600798403,0.7901812765609159
es,ru,0.7936127744510978,0.7937771240995767
de,ru,0.7848303393213573,0.784846164809359
el,ru,0.7760479041916167,0.7760650220893247
bg,ru,0.7984031936127745,0.7984178416261095
ru,ru,0.7792415169660679,0.778924516747281
tr,ru,0.7387225548902195,0.7383356715154886
ar,ru,0.7417165668662674,0.7417191208821169
vi,ru,0.7632734530938123,0.7632309026328882
th,ru,0.7351297405189621,0.7352093894313714
zh,ru,0.7483033932135729,0.748020778609603
hi,ru,0.7219560878243513,0.7215947625490745
sw,ru,0.6654690618762475,0.6654291092404964
ur,ru,0.6900199600798403,0.6891128942425929
en,sw,0.8075848303393214,0.807496227174653
fr,sw,0.7656686626746507,0.7658316148701806
es,sw,0.7758483033932135,0.7758737079187245
de,sw,0.7598802395209581,0.7597192501104066
el,sw,0.7598802395209581,0.7596753213936461
bg,sw,0.7686626746506986,0.7683949655108228
ru,sw,0.7506986027944111,0.7508677770486237
tr,sw,0.7269461077844311,0.7265005529646134
ar,sw,0.7263473053892215,0.7263195600916093
vi,sw,0.7479041916167665,0.7476069752593251
th,sw,0.7251497005988023,0.7250921485616403
zh,sw,0.7393213572854291,0.7386428577431529
hi,sw,0.7131736526946107,0.7129491988654421
sw,sw,0.7043912175648702,0.7032241289700107
ur,sw,0.6812375249500998,0.6800106514162926
en,th,0.8231536926147704,0.8226550103167961
fr,th,0.782435129740519,0.7822228163835142
es,th,0.7870259481037924,0.7870034285952815
de,th,0.7762475049900199,0.775994750997221
el,th,0.7758483033932135,0.7755289758336846
bg,th,0.7836327345309381,0.7834463241479558
ru,th,0.7614770459081837,0.7614564585771785
tr,th,0.7357285429141717,0.73538376712821
ar,th,0.732934131736527,0.732536805130969
vi,th,0.7632734530938123,0.7631571378031512
th,th,0.7606786427145709,0.7603316196050378
zh,th,0.7538922155688623,0.7530593870412475
hi,th,0.7279441117764471,0.7274608152455991
sw,th,0.6714570858283433,0.6714348441063261
ur,th,0.7,0.699230881041209
en,tr,0.8179640718562874,0.8175196455454459
fr,tr,0.7702594810379242,0.7698892435762184
es,tr,0.7800399201596806,0.7795416382258585
de,tr,0.7734530938123753,0.7730159348789974
el,tr,0.7570858283433134,0.7565941349405567
bg,tr,0.7830339321357286,0.7825974157977043
ru,tr,0.7594810379241517,0.7587846127331446
tr,tr,0.7572854291417166,0.7565189397115809
ar,tr,0.7265469061876247,0.7262793531628291
vi,tr,0.7600798403193613,0.7597221204613187
th,tr,0.7349301397205589,0.7346754202766709
zh,tr,0.7489021956087825,0.7484231278154683
hi,tr,0.7301397205588822,0.7300473656013301
sw,tr,0.6640718562874252,0.6640293577875291
ur,tr,0.6916167664670658,0.6908670457544647
en,ur,0.7582834331337326,0.7549623033653051
fr,ur,0.7239520958083833,0.7217250738489684
es,ur,0.7305389221556886,0.7276867007155855
de,ur,0.7229540918163673,0.7196360272245982
el,ur,0.7095808383233533,0.7067813491219823
bg,ur,0.7315369261477046,0.7291077623940266
ru,ur,0.7201596806387226,0.7175277035585085
tr,ur,0.6902195608782435,0.6859382291620975
ar,ur,0.6810379241516966,0.6756223172537132
vi,ur,0.718562874251497,0.71628548078222
th,ur,0.6866267465069861,0.681861779823785
zh,ur,0.7111776447105789,0.7061802110355884
hi,ur,0.679441117764471,0.6773121355126362
sw,ur,0.6097804391217565,0.6046691238815929
ur,ur,0.6698602794411178,0.6681527760299503
en,vi,0.8217564870259481,0.8215492997169062
fr,vi,0.7846307385229541,0.7848392594987552
es,vi,0.7846307385229541,0.7847041022209152
de,vi,0.7726546906187625,0.7726758619054381
el,vi,0.7666666666666667,0.7666376712182833
bg,vi,0.7852295409181637,0.7853088040522596
ru,vi,0.7588822355289421,0.7592802940565896
tr,vi,0.7431137724550898,0.7430903107329224
ar,vi,0.7367265469061877,0.7366232667445827
vi,vi,0.787624750499002,0.7873172952450694
th,vi,0.7291417165668662,0.7291445687112126
zh,vi,0.7606786427145709,0.7608216392471477
hi,vi,0.725748502994012,0.7257574947349456
sw,vi,0.6586826347305389,0.6587480674450797
ur,vi,0.6774451097804391,0.6773755706981132
en,zh,0.8265469061876247,0.8262392457503688
fr,zh,0.782435129740519,0.7823766523495909
es,zh,0.7912175648702595,0.7909841585430916
de,zh,0.7764471057884231,0.7760998296387567
el,zh,0.7692614770459082,0.7688448909711666
bg,zh,0.7860279441117765,0.7857082656132239
ru,zh,0.7668662674650698,0.7667151511728285
tr,zh,0.7343313373253493,0.7339944768247063
ar,zh,0.7297405189620758,0.7295996644415093
vi,zh,0.7626746506986027,0.7625743985862478
th,zh,0.7451097804391218,0.7451792011054256
zh,zh,0.7752495009980039,0.7749724421668378
hi,zh,0.7229540918163673,0.7225747516215902
sw,zh,0.6626746506986028,0.6622670477448248
ur,zh,0.6834331337325349,0.6824938838114335
