task_lang,transfer_lang,exact_match,f1_score
ar,ar,15.798319327731091,21.96151180669468
es,ar,7.73109243697479,14.734803109551216
tr,ar,6.050420168067227,11.56875927602636
vi,ar,7.983193277310924,15.845495913400972
ro,ar,8.235294117647058,14.501467380582971
de,ar,8.739495798319327,13.858266369749202
en,ar,7.310924369747899,12.795959091342125
th,ar,9.915966386554622,14.991869475062758
el,ar,9.243697478991596,14.679682041113626
zh,ar,7.310924369747899,13.344604508470058
hi,ar,9.747899159663865,14.751473318869891
ru,ar,6.554621848739496,13.697146123690205
de,de,29.2436974789916,39.11072137137244
zh,de,14.705882352941176,23.75804167820973
hi,de,16.470588235294116,27.502773262305503
th,de,19.49579831932773,28.453354068900307
ro,de,21.09243697478992,30.29603596641689
ar,de,18.067226890756302,28.5448189240802
es,de,21.09243697478992,31.71414325246016
ru,de,20.33613445378151,31.708850379265787
vi,de,17.899159663865547,30.45120768852467
el,de,18.907563025210084,29.24467118064932
tr,de,17.142857142857142,27.67696318579006
en,de,25.210084033613445,33.92472457050495
el,el,20.672268907563023,27.13064182564386
de,el,14.369747899159664,20.74746034571348
vi,el,12.268907563025213,21.09994819507
ru,el,13.025210084033612,19.878997387134863
es,el,13.109243697478991,20.21395200568981
zh,el,8.823529411764707,15.404795251433908
ro,el,15.46218487394958,21.24037945167329
hi,el,12.857142857142858,19.200733692817813
tr,el,11.092436974789916,17.574721787088457
ar,el,13.445378151260504,20.83125347192197
th,el,15.042016806722687,20.90231393747538
en,el,15.966386554621849,22.036829938617533
es,en,26.47058823529412,38.15320013468954
el,en,23.865546218487395,34.01686306495144
ar,en,19.159663865546214,29.4516685209754
th,en,21.680672268907564,30.0222907344756
tr,en,19.2436974789916,30.386018659414127
vi,en,23.361344537815125,36.339588123829
ru,en,23.10924369747899,34.48770268636424
zh,en,18.907563025210084,27.297585700947053
de,en,26.89075630252101,36.89856851269016
hi,en,21.84873949579832,32.125871780638136
en,en,39.41176470588236,49.42194405081153
ro,en,26.974789915966387,35.73720614838282
en,es,34.20168067226891,45.18577798865483
ar,es,23.445378151260503,37.1084912910849
ro,es,31.680672268907564,43.22407379297169
tr,es,23.361344537815125,35.522998248050094
es,es,33.27731092436975,47.65024932688653
hi,es,23.025210084033613,34.13176908508155
th,es,25.54621848739496,35.44733837590983
ru,es,26.050420168067227,39.55821366181699
zh,es,20.084033613445374,31.080795954745547
de,es,28.571428571428573,40.90519412100776
vi,es,27.142857142857142,41.95752224100285
el,es,27.22689075630252,39.308129335827495
de,hi,19.747899159663863,29.52525541100104
ar,hi,17.478991596638654,28.371377724351103
ru,hi,17.647058823529413,29.68411042107433
tr,hi,17.22689075630252,30.05772144841444
es,hi,16.638655462184875,27.80415453677503
el,hi,20.084033613445374,31.4125719356512
ro,hi,18.15126050420168,28.21938479904196
zh,hi,18.823529411764707,27.39315726290517
th,hi,22.26890756302521,30.14429104975323
