task_lang,transfer_lang,exact_match,f1_score
en,ar,9.663865546218489,17.211769589327325
ar,ar,24.789915966386555,33.95065485791476
es,ar,6.554621848739496,16.86890058992748
tr,ar,7.226890756302521,15.085745862164403
zh,ar,9.07563025210084,16.031217615251226
ru,ar,8.739495798319327,17.297427692775475
vi,ar,9.411764705882351,18.44987506778056
de,ar,10.420168067226893,17.783883415815612
ro,ar,8.319327731092438,16.716667598683614
th,ar,14.453781512605042,21.01581019079784
hi,ar,12.6890756302521,18.432660681299502
el,ar,12.605042016806722,20.097253740253315
th,de,12.6890756302521,18.97000395054354
hi,de,13.949579831932772,22.529766131975105
ar,de,11.84873949579832,20.11443563732857
el,de,15.042016806722687,22.35332458776622
en,de,21.51260504201681,28.872914976578112
ru,de,16.134453781512605,24.83051190903792
tr,de,14.369747899159664,23.01260183607189
zh,de,11.764705882352942,19.60298968072076
vi,de,13.949579831932772,22.868273048954045
es,de,15.798319327731091,23.42907877730349
de,de,27.647058823529413,36.36657829149089
ro,de,18.31932773109244,24.500016265423813
ro,el,27.310924369747895,38.212500793604505
en,el,27.647058823529413,37.851017761840254
ru,el,23.865546218487395,37.145138582773264
es,el,26.386554621848735,38.80042922662714
de,el,27.142857142857142,38.1464892595293
hi,el,22.94117647058824,34.07118674340601
zh,el,12.352941176470589,23.74245735590271
el,el,36.55462184873949,48.90218037354203
ar,el,22.857142857142858,35.67571511903224
th,el,24.873949579831933,35.17889963002747
vi,el,23.529411764705884,36.16640343574738
tr,el,19.07563025210084,29.786043216440905
en,en,37.39495798319328,47.91405750649995
ar,en,18.65546218487395,30.507883236301574
vi,en,21.51260504201681,33.11409642734331
es,en,26.30252100840336,37.22660727947536
ro,en,25.96638655462185,35.269400622960944
zh,en,18.403361344537814,27.747565692943844
hi,en,20.252100840336134,31.55436855237113
el,en,22.01680672268908,32.009910897637155
th,en,22.100840336134453,30.963491457188944
ru,en,23.10924369747899,34.22407910953574
tr,en,18.48739495798319,30.00141196258425
de,en,26.80672268907563,37.0429186221682
es,es,41.34453781512605,55.645117671625066
en,es,36.97478991596638,49.08967750707214
ar,es,25.96638655462185,40.94038925569484
ro,es,37.3109243697479,49.397169131237646
el,es,30.92436974789916,43.904071488475005
de,es,31.34453781512605,44.54247940182814
ru,es,29.747899159663863,43.23794376860012
th,es,27.73109243697479,38.527989149285055
hi,es,24.705882352941178,38.56074114202935
tr,es,23.10924369747899,37.1535688894366
zh,es,17.983193277310924,30.439648586707435
vi,es,29.915966386554626,44.62959312204777
hi,hi,26.80672268907563,37.19331444724578
ar,hi,16.30252100840336,24.812317843387905
ru,hi,15.126050420168069,23.406644909020343
tr,hi,13.277310924369749,22.728554667950327
th,hi,18.31932773109244,24.73319434725762
el,hi,16.218487394957982,24.419068801324087
zh,hi,15.210084033613445,21.295697766285983
vi,hi,13.949579831932772,22.89050435785103
